fluorochrome	type	nm	norm_intensity
FluxOR thallium indicator	ex	492	100
FM 1-43	em	579	100
FM 1-43	ex	473	100
FM 2-10	em	609	100
FM 2-10	ex	484	100
FM 4-64	em	726	100
FM 4-64	ex	344	36
FM 4-64	ex	506	100
FM 5-95	em	771	100
FM 5-95	em	790	100
FM 5-95	ex	528	100
FocalCheck Blue Ring 	em	413	100
FocalCheck Blue Ring 	ex	356	100
FocalCheck Dark Red Ring 	em	684	100
FocalCheck Dark Red Ring 	ex	656	100
GFP	em	508	100
GFP	ex	489	100
Green Actin	em	512	100
Green Actin	ex	505	100
HCS CellMask Blue stain	em	444	100
HCS CellMask Blue stain	ex	347	100
HCS CellMask Deep Red stain	em	670	100
HCS CellMask Deep Red stain	ex	649	100
HCS CellMask Green stain	em	517	100
HCS CellMask Green stain	ex	308	23
HCS CellMask Green stain	ex	333	11
HCS CellMask Green stain	ex	493	100
HCS CellMask Orange stain	em	564	100
HCS CellMask Orange stain	em	601	45
HCS CellMask Orange stain	ex	518	49
HCS CellMask Orange stain	ex	551	100
HCS CellMask Red stain	em	614	100
HCS CellMask Red stain	ex	587	100
HCS LipidTOX Deep Red	em	651	100
HCS LipidTOX Deep Red	ex	635	100
HCS LipidTOX Green Neutral Lipid	em	507	100
HCS LipidTOX Green Neutral Lipid	ex	498	100
HCS LipidTOX Green phospholipidosis reagent	em	536	100
HCS LipidTOX Green phospholipidosis reagent	ex	504	100
HCS LipidTOX Red Neutral Lipid	em	616	100
HCS LipidTOX Red Neutral Lipid	ex	582	100
HCS LipidTOX Red phospholipidosis reagent	em	608	100
HCS LipidTOX Red phospholipidosis reagent	ex	584	100
HCS NuclearMask Blue stain	em	454	100
HCS NuclearMask Blue stain	ex	352	100
HCS NuclearMask Deep Red	em	686	100
HCS NuclearMask Deep Red	em	725	89
HCS NuclearMask Deep Red	ex	603	87
HCS NuclearMask Deep Red	ex	638	100
HCS NuclearMask Red stain	em	644	100
HCS NuclearMask Red stain	ex	322	14
